Which of the following describe your relationship to RA? (check all that apply),Which of the following best describes your approach to RetroAchievements?,Describe briefly what makes an RA set well-designed,"What one set on RA best illustrates what you would consider ""perfect"" set design?",Explain what makes the linked RA set a good example of perfect set design.,How do you feel about the following types of achievements? [Standard Progression & Milestones],"How do you feel about the following types of achievements? [Completion (100%, collectables, all stages/missions)]","How do you feel about the following types of achievements? [Grinding / Hyper-Completion (reach level 99, collect every drop, reach 1000 kills with every weapon, etc)]",How do you feel about the following types of achievements? [Damageless Boss Challenges],How do you feel about the following types of achievements? [Deathless Boss Challenges],"How do you feel about the following types of achievements? [Other Boss Challenges (weapon restrictions, party restrictions, etc)]","How do you feel about the following types of achievements? [Level Challenges (no powerups, don't press left, no jumping, etc)]","How do you feel about the following types of achievements? [Easter Eggs (highlighting one-off points of interest in a game, intended by the game developers)]","How do you feel about the following types of achievements? [Developer-Created Challenges (highlighting one-off points of interest in a game, NOT intended by the game developers)]",How do you feel about the following types of achievements? [Score Challenges],How do you feel about the following types of achievements? [Speedrun Challenges],"Are there any other types of achievement types that you enjoy that were not mentioned in the previous question? If so, please describe them here.",How do you prefer progression milestones to be broken down?,What additional content do you expect out of an RA set beyond simple game completion?,How willing are you to play a game multiple times for the purpose of mastering a set?,Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being too difficult],Which of the following applies to your experiences playing RA sets? [I have skipped achievements for being a type of achievement I don't like],Which of the following applies to your experiences playing RA sets? [I have not played *an entire set* because it contained a small number of achievements I didn't want to complete],"Which of the following applies to your experiences playing RA sets? [I feel the need to master every set that I play, even if I don't care for some of the achievements]",Which of the following applies to your experiences playing RA sets? [I mostly play games of a specific series or genre]
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","• The game without some ""BS"" challenge, and speedrun in main set. Except some challenge and speedrun from the game itself. They're deserve putting them to subset achievements. For example, missions/level from modern video games.
• Story progress. Every level deserves getting achievements. For challenging, putting them with highest difficulty only. Don't adding something that the others hate it.
• (Achievements title) For the main objective putting them with ""100 coins star - Bom-omb Battlefield"" from Super Mario 64.
(Achievements description) Make sure the description to the point and not confused the others.",https://retroachievements.org/game/20833,"• Story progress (Most important point than others).
• I love challenge from the game, and not from dev one ",Dislike,Like,Love,Dislike,Like,Neutral,Hate/Avoid,Love,Neutral,Neutral,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",5,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Clearly explained and not too complicated achievements,https://retroachievements.org/game/1995,Covers all gameplay and secrets,Love,Love,Neutral,Like,Like,Neutral,Neutral,Love,Neutral,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Strongly Agree,Agree,Agree,Neutral,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Progressive achievements without insane difficulties like finish all game without damage (this can be a sub set), also without achievements that have to be perfect timing to complete ",https://retroachievements.org/game/11344,"I understand that this game have to play more than one time, I think it’s not too grinding, have progressions achievements ",Love,Like,Neutral,Dislike,Neutral,Hate/Avoid,Neutral,Like,Neutral,Hate/Avoid,Hate/Avoid,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Agree,Neutral,Strongly Agree,Neutral,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","I love sets that have you approach whatever game it's connected to in different ways, or achievements that teach you new things about games you've already played.",https://retroachievements.org/game/2606,"It has a lot of challenging, but fair achievements that. It contains story related achievements, which I think is a must. It contains achievements that have you approach the game in different ways, like knife only for bosses, and no Merchant. And it contains achievements that taught me new things about the game, like how you can encounter wolves much earlier in the game by backtracking after Chapter 1-3, or the fact that you can shoot at the bell in Separate Ways to ring it and make enemies spawn. The knife only and no Merchant achievements also contributed to me learning new things. I now commonly use knife only strategies, that I learned from going through the set, on my casual playthroughs in order to conserve ammo.",Love,Love,Like,Like,Like,Like,Like,Love,Like,Neutral,Like,Nope. The list covered all the ones I can think of.,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",5,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Being both fun and challenging,https://retroachievements.org/game/1995,It covers the whole game. Is both challenging and fun. I haven't mastered it because I'm not as good with the game but I think it illustrates really good the fun-challenging ratio.,Like,Neutral,Dislike,Hate/Avoid,Hate/Avoid,Neutral,Hate/Avoid,Like,Like,Like,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",3,Agree,Neutral,Neutral,Strongly Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","It should show off what the game has to offer, including highlighting easily missable points of interest.",https://retroachievements.org/game/264,"Highlights most of the game's points of interest, marking those that are easily missable, while tracking progression",Like,Like,Dislike,Dislike,Neutral,Neutral,Dislike,Love,Like,Dislike,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"100%, as defined by the game",2,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","To cover most secret aspecs of a game, such as secret bosses items or weapons etc",https://retroachievements.org/game/11252,,Like,Love,Love,Dislike,Neutral,Neutral,Dislike,Love,Love,Neutral,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable",4,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Achievements that are well-written, comprehensive, and create a cohesive whole.",https://retroachievements.org/game/6049,"The set is comprehensive, contains minimal missable challenges, and most dev-created challenges are per-level and easy to retry (do not require significant replaying of irrelevant portions of a level)",Love,Love,Dislike,Hate/Avoid,Like,Neutral,Like,Love,Like,Neutral,Hate/Avoid,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",3,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",A set that covers the main progression for reaching 100% in a game well at the same time offering some extra challenges that feel natural to attempt and maybe some achievements that show off some secrets that can teach even a seasoned player of the game something new.,https://retroachievements.org/game/15690,"I 100% Battle for bikini bottom every year as tradition and have done so for 7 years and even I learned new things about the game when I played
(Secrets like SpongeBob's oven and that the purple shiny objects stay collected permanently) ",Love,Love,Dislike,Like,Like,Like,Like,Love,Like,Like,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Neutral,Disagree,Disagree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Consistent unlocks throughout the gameplay, challenges the player to explore all aspects of the game and try different gameplay styles",https://retroachievements.org/game/3057,,Love,Like,Like,Dislike,Neutral,Neutral,Neutral,Love,Love,Like,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Strongly Agree,Strongly Agree,Agree,Disagree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Encompassing all aspects of a game, while adding small challenges. My interest in many sets I have played started from wanting to revisit childhood classics, but the sets I have enjoyed most made me discover things I never new about those classics. ",https://retroachievements.org/game/11264,"The linked set touches on all major aspects of the game (with an exception possibly given to no achievement for getting a max level dragoon), touches on aspects that can be otherwise completely overlooked (never knew about the Polter Armor and some other secret bosses!), and the restrictions on the boss fight cheevos were fun but not overly difficult.",Love,Like,Neutral,Hate/Avoid,Dislike,Love,Like,Love,Like,Neutral,Neutral,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",3,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","A set which encapsules game content and mechanics properly, not going against the developers intentions of how tackle game's challenges, with difficulty aligned with the game's difficulty and the least possible missables.",https://retroachievements.org/game/558,"The set doesn't go too far from the difficulty of the game, with set boss challenges that are not obnoxius. The set really goes through the whole game content and even some fun secrets to surprise old fans and new alike

No missables! :D",Love,Love,Dislike,Hate/Avoid,Hate/Avoid,Like,Hate/Avoid,Love,Like,Neutral,Hate/Avoid,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Comprehensive, requiring mastery of advanced controls and game knowledge, but without requiring near-perfect or pro-level skill. Challenge of set should be roughly proportional to challenge of original game, with easier games having typically easier sets and harder games allowing for harder, more restrictive challenges.",https://retroachievements.org/game/11729,"Not only does the set require 100% completion, it requires exploration into secret sub-areas the games doesn’t even require you to go to. It shows that the developer truly studied the game in and out, and delivered a set so well-rounded that you leave knowing more about the game than you did going in. The set also has challenging platformer achievements, but they are only a few and they are not even close to Kaizo-level difficulty, with most players being able to clear the hardest within a few days or so.",Love,Love,Like,Like,Love,Like,Love,Love,Love,Like,Love,"This may not really count as an “achievement” but I really appreciate when sets that have an overall rule or disallow in-game cheats or something have a 0-point achievement that pops immediately to remind you of those rules, or to get you to read them before you play the set. There have been times I’ve missed small rules or nuances because they’ve been buried in a forum topic, or behind a wall of comments, and having a “stickied” achievement at the top to refer to is always appreciated.",I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",5,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Encompasses all content of the game, creates unique challenges that can offer a fun spin on how you approach the game. Tough but fair ",https://retroachievements.org/game/793,"Has decently paced progression achievement, reasonably achievable time attack cheevos, fun character mastery achievements like beating a boss without damage using X characters. Lots of fun unique achievements ",Love,Love,Dislike,Neutral,Like,Love,Dislike,Love,Love,Love,Hate/Avoid,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Strongly Agree,Strongly Agree,Agree,Agree,Neutral
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","A good set makes player explore every aspect of the game and through challenges provides an opportunity to improve skills that may be useful in casual playthrough. Very little RNG-grinding except for RNG-dependant unique content or RNG-dependant content that is required for 100%, as defined by the game.",https://retroachievements.org/game/5795,A thorough set that helps player to learn everything about the game without being too cryptic. More challenging achievements are all about core mechanics. Less developed mechanics are covered but one would not have to grind them for hours instead of focusing on the main parts of the game. No unnecessary speedrun achievements or achievements related to speedrun focused tricks.,Neutral,Like,Dislike,Like,Neutral,Like,Neutral,Love,Neutral,Neutral,Dislike,Some unique full-game challenges that help player to get rid of bad habbits developed during casual playthroughs in an intreresting way. Not just no death/power-ups (those can acceptable though depending on the game) or some convoluted tedious grind.,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Track progression and encourage the player to experience the whole game, while also using optional challenges to expand and enhance the original game experience by introducing new playstyles players otherwise might not consider. I think missable achievements should be intuitive and used sparingly, I have trouble playing RPGs due to the sheer number of missables that require me to keep the achievement list open and constantly watch it in case I accidentally pass something. Grind achievements are fine where applicable but can be unnecessary padding, like with Wipeout Pure's weapon grind achievements on launch before several revisions and nerfs.",https://retroachievements.org/game/20580,"Wide variety of achievements that covers not only progression, but challenges that encourage the player to try cars and modes that they may not have otherwise considered. At the same time this set avoids forcing the player into doing particularly long or tedious challenges, like 1000 Miles or 24 hours races.",Neutral,Like,Dislike,Hate/Avoid,Hate/Avoid,Neutral,Neutral,Love,Like,Like,Neutral,,I like stages to be grouped to reduce the number of overall achievements,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",2,Strongly Agree,Agree,Strongly Agree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","For me, a well-designed set should have multiple progression achievements and achievements that would include the entirety of the game, either the main levels or the optional ones with collectibles if there are present (so 100% of the game).
Also, in my opinion, a set that contains little challenges thought by the dev give a new feeling to the game by rediscovering it throught another angle.
Finally, I think that if the game has secret or easter eggs, there should be achievements for them so we can discover them or even know they exist.",https://retroachievements.org/game/6151,"This set is for me a good example, because in this game, you don't know what you need to do to unlock a square on the checklist unless you have a square next to it. Here, the achievements of this set gives us a beginning from where to start and gives a feedback on what we did when there is a challenge to do on each stage.
Also, the reward given by the game that are optionnal, like alternative music, must be used for some achievement by the set.
For the rest of the challenge, it is seperated by challenge that forces us, the player, to understand the mechanic of the game and to learn to play new vehicules, either by hard challenge or fun ones.
Finally, there are three achievements, if I remember correctly, about secret in the mode ""City Trial"" that are in the set and that I didn't know about one of them.

In conclusion, this set reunites achievements about progression, help of where to start, challenges created by the dev, secrets and uses almost every vehicule available. 
It really showed me a new vision that I had of this game that wasn't just about using a vehicule I was comfortable with or just a racing game, because you could change it in a mini-game with racing (like Meta Knight VS DeDeDe, which is a death battle in a set time).",Love,Love,Neutral,Like,Like,Love,Love,Love,Love,Neutral,Like,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Disagree,Disagree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","They add to the game, and can make it a good experience that isn’t monotonous. ",https://retroachievements.org/game/9190,"I’m not exactly sure but was definitely one of my favorite games I’ve mastered. Could be, because it was my first time playing the game and I played along side a friend. But the set was quite fun also, besides it being tedious at times. ",Love,Love,Dislike,Like,Like,Neutral,Neutral,Like,Like,Neutral,Hate/Avoid,Unsure,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Agree,Strongly Disagree,Agree,Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","progression trophies, 100% of collectibles, trophies that help you unravel the game and find things that are difficult to find casually. different mechanics like ""kill 20 enemies with a flying kick"" but without multiple trophies, without taking damage for example",https://retroachievements.org/game/2681,"It's a set that helps you discover everything in the game, both secret items and character moves (it's very interesting to learn that there are special moves through trophies. Finishing with all 3 characters generates a really cool replay factor (because each character has a different gameplay), there's no perfect on bosses or speedrun and this makes the game not tiring and stressful.",Love,Love,Neutral,Hate/Avoid,Love,Like,Hate/Avoid,Love,Dislike,Neutral,Hate/Avoid,"special moves trophies, example: defeating x enemies with flying kick, or defeating x enemies using bombs and things like that... coop trophies in the base set, even if it has some restrictions, goofy troop is a great example","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",3,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",the average player needs to be able to complete it and have fun. don't serve the elite ,https://retroachievements.org/game/1995,something the entire community  can enjoy without stupid grinds.. ,Love,Neutral,Love,Hate/Avoid,Hate/Avoid,Hate/Avoid,Hate/Avoid,Neutral,Hate/Avoid,Like,Hate/Avoid,anything jam does ,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",3,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","At a high level, I want it to show me everything the game has to offer. That could mean easter eggs (e.g. the Sleepy Hero achievements in Super Mario RPG), forcing me to engage with a gameplay element I hadn't before (e.g. stylish and superguarding in Paper Mario TTYD), or forcing me to dig deep into systems whose detail I hadn't appreciated (e.g. Dark Cloud's fishing and synthesis). In this same vein, I also love when they call out missables ahead of time via the order of the achievements (e.g. the disappearing Jurak chests in Dark Cloud). I also appreciate a consistent stream of possibly-low-value progression achievements; it just reminds me of how magical the whole system is.",https://retroachievements.org/game/1304,"The achievements are ordered perfectly, they warn you about missables in the game ahead of time, they cover all of the minigames and sidequests and game systems in good detail, they have a reasonable amount of challenge.",Love,Love,Like,Neutral,Neutral,Neutral,Neutral,Love,Like,Dislike,Dislike,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc), per-boss and/or per-stage challenges, as defined by the dev",3,Agree,Neutral,Strongly Disagree,Disagree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",,https://retroachievements.org/game/10003,,Like,Neutral,Dislike,Neutral,Neutral,Hate/Avoid,Hate/Avoid,Dislike,Like,Neutral,Dislike,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",4,Agree,Strongly Agree,Strongly Agree,Disagree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","It makes complete a game fully at 100%, and it makes you complete challenges or find things didn't know existed in the game. An average player wouldn't know about them.",https://retroachievements.org/game/10434,"It hits everything needed for a full completion experience, but adds a touch of difficulty in a handful of achievements that are not requirements to complete the game, but cool things you can do. For example: the achievement ""Iron Boots - Destroy all the straight line boxes at the end of N. Sanity Beach without jumping."" This achievement requires quickness and timing to achieve and is not easy to do. If you fail, there is no grinding or huge amounts of time consumed to try it again right away.",Love,Love,Like,Like,Like,Neutral,Dislike,Love,Love,Like,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",3,Agree,Agree,Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",I think a good set is if it shows you pretty much everything the game has to offer. Maybe with some extra challenges like speedrunning some stages or hitless/deathless. Depends on the game tho.,https://retroachievements.org/game/337,"It shows what the game has to offer (secrets, speedrun, playing the game in ways you maybe wouldn´t do, like playing a stage without light or some cute ones like just listening to music)",Love,Love,Hate/Avoid,Love,Love,Like,Neutral,Love,Like,Like,Like,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev, full-game challenges, as defined by the dev",4,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree
"I am a player, I am a Developer (or Jr Dev, or former Dev)","I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Nothing, because most of the devs are elitists, and no matter what, they're gonna team up on you and never accept flaws because they think they're above criticism. So it's impossible to have a well-designed set with people like those that plagues the site.",https://retroachievements.org/game/10202,"No bullshit, everything makes sense and it doesn't have arbitrary nonsense.",Love,Love,Dislike,Hate/Avoid,Neutral,Neutral,Dislike,Like,Dislike,Dislike,Dislike,"The ones not made by AlexGatao, the almighty ruiner of sets.","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Disagree,Strongly Agree,Strongly Agree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set",Shows off fun and interesting interactions while also having a bit of challenge to it.,https://retroachievements.org/game/764,Shows off a ton of interesting and fun boss interactions and missable cutscenes,Like,Like,Hate/Avoid,Neutral,Neutral,Hate/Avoid,Neutral,Love,Dislike,Neutral,Like,,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",3,Neutral,Neutral,Strongly Agree,Agree,Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","Xbox/Playstation esque achievements, or just general basic progression achievements along with beating the game.",https://retroachievements.org/game/2624,"the entire base set is just beating the game or doing very basic challenges, they moved all the annoying/ speedrun esque achievements to a subset.",Love,Neutral,Dislike,Hate/Avoid,Hate/Avoid,Hate/Avoid,Hate/Avoid,Like,Hate/Avoid,Hate/Avoid,Hate/Avoid,"The ones not made by AlexGateo, why does he ruin all the zelda sets...","I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game",2,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","If it does everything in-game that rewards you in-game. Easter eggs, secret weapons stuff like that.",https://retroachievements.org/game/677,"Doesn't go out of it's way to give the player insane challenges like no hits(this one you couldn't), doesn't have the 16 hit combos in the main set and is comprehensive in collecting all the secrets, side objectives, and some minigames even. ",Love,Like,Neutral,Hate/Avoid,Like,Neutral,Dislike,Love,Like,Neutral,Dislike,achievements that lead to different endings in a game,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",2,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","A well designed set should have, along with the general progression achievements, a few achievements that require approaching a level or part of game in a unique and fun way (or highlighting something few know about a game), a few achievements that require something challenging of the player. But it should not have achievements that require something extremely difficult, such as beating a game without dying. Frustration doesn't make anyone apreciate old games more.",https://retroachievements.org/game/11245,"It has some quick and fun achievements, has some challenging achievements but avoids ones that are too dificult, and generally covers everything about the game.",Like,Like,Hate/Avoid,Dislike,Dislike,Like,Like,Love,Love,Neutral,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",5,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A set that does not include ""no damage the entire level"", ""use only 1 continue the entire game"", ""Finish all doom levels in nightmare difficult"" (Doom 1-2 etc had easy achievements at release so who got have the badge, don't need to complete the impossible new ones that's soo wrong.), ""finish megaman x using only one leg while upside down"", ""complete jet set radio in x seconds/minutes"" (The Jet Set Set Radio example, that set is perfect, but the speedrun achievements completely ruin the entire set for me. REALLY. This set made me hate my favorite game of all times.); A well-designed set I think is a set that you can complete. I'm a surgeon-dentist I can't spend my entire day studying the best route to complete something in time and try literally for days/months of a frustrating experience until I get PRO. And the metal Slug ones... omg guys just exclude all the metal slug sets from the website. (**Sorry instead of saying about a ""well-designed"" I just said the worst ones. I think it could help.) *Sorry if I misspelled something.",https://retroachievements.org/game/2739,"Lots of good well-balanced achievements and nothing is impossible. I literally finished this game 20 times during my life, with this set I did LOTS of things that I never did in my gameplays, I discovered lots of things that I didn't even know that existed in this game. This set have lots and lots of grinds but in general I like this set.",Love,Like,Hate/Avoid,Hate/Avoid,Hate/Avoid,Like,Like,Love,Love,Like,Hate/Avoid,.,"I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",5,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Makes the player complete the objectives within the game that offer rewards (be it useless titles or tangible benefits like gear or items), minor challenges for boss fights that don't require absolute perfect play (like hitless boss runs or low level challenges), and a set that can be completed through a single play through of the game.",https://retroachievements.org/game/11247,"While many hate the minigames in it, every achievement was based on getting a reward in the game no matter how useless. It also explored every inch of the game in terms of gathering loot, skills and backstory lore. There is also no Low Level requirement, allowing the player to play the game how they wanted instead of being forced to follow very specific guides for a niche challenge run.",Like,Like,Neutral,Hate/Avoid,Hate/Avoid,Neutral,Hate/Avoid,Love,Dislike,Dislike,Hate/Avoid,"I like minor boss challenges. An example being something like 'beat this boss without using this specific command'. It allows some variation to a boss fight, but at the same time isn't so utterly restricted that a single run through of the game can accomplish it.","I like one achievement per stage, even when there might be a lot of stages","100%, as defined by the game",4,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges","A set is well-designed to me if certain challenge achievements are NOT in the main set. I especially have a dislike for sets that include speedrun achievements and specific challenges that require pushing a game to its limits or knowing various quirks the average player wouldn't pick up on in the main set instead of a subset. This can also include ""no damage"" challenges if a boss needs to be exploited or handled very tediously.",https://retroachievements.org/game/2697,Accessible to all players; only requires you to complete the game without any extra fluff added by the author that should be in a subset.,Love,Love,Like,Dislike,Neutral,Neutral,Neutral,Love,Dislike,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, further completion, as defined by the dev (collect all 1ups, collect all ammo packs, etc)",4,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Portuguese - Dificuldade balanceada. ,https://retroachievements.org/game/723,,Love,Love,Love,Neutral,Neutral,Neutral,Neutral,Love,Love,Like,Neutral,,"I like one achievement per stage, even when there might be a lot of stages","completion of all possible routes/endings, where applicable, 100%, as defined by the game, full-game challenges, as defined by the dev",3,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree
I am a player,"I play RA sets specifically for mastery, and will often complete challenges that I don't find fun in order to complete the set","Not too many achievements that are super specific and unintuitive, so you wouldn’t even think about something like that in normal playthrough. Some are okay if they are fun, but sometimes there is too little margin of error.",https://retroachievements.org/game/9190,"Most of achievements on wind waker are intuitive, even most of the missable ones. The only trophies that I would consider not fun are those involving tingle tuner. I even liked the missable challanges like beating bosses using specific things, because it was fun and communicated well enough with the missable trophy notifaction thingy. ",Love,Love,Dislike,Like,Like,Like,Hate/Avoid,Love,Dislike,Neutral,Neutral,,I don't have an opinion on the number of progression achievements.,"completion of all possible routes/endings, where applicable, 100%, as defined by the game, per-boss and/or per-stage challenges, as defined by the dev",4,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
I am a player,"I play RA sets specifically for mastery, but I will stop short if I find myself not having fun with certain challenges",Least missables as possible pls- ,https://retroachievements.org/game/11632,"Fun, hard",Love,Love,Neutral,Hate/Avoid,Hate/Avoid,Hate/Avoid,Hate/Avoid,Love,Love,Hate/Avoid,Neutral,,,,2,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree
